T E_media/NP C/NP M_media/NP X/NP
4.73 0.00000 0.00000 0.00000 0.00000
4.74 -0.45080 0.00000 0.01380 0.00000
4.75 0.00000 0.00000 0.00000 0.00000
4.76 -0.44160 0.00000 0.00360 0.00000
4.77 0.00000 0.00000 0.00000 0.00000
4.78 -0.42440 0.00000 0.01840 0.00000
4.79 0.00000 0.00000 0.00000 0.00000
4.80 -0.47040 0.00000 0.01820 0.00000
4.81 0.00000 0.00000 0.00000 0.00000
4.82 -0.46600 0.00000 0.00100 0.00000
4.83 0.00000 0.00000 0.00000 0.00000
4.84 -0.46360 0.00000 0.02460 0.00000
4.85 0.00000 0.00000 0.00000 0.00000
4.86 -0.44160 0.00000 0.01900 0.00000
4.87 0.00000 0.00000 0.00000 0.00000
4.88 -0.44760 0.00000 0.01600 0.00000
4.89 0.00000 0.00000 0.00000 0.00000
4.90 -0.45480 0.00000 0.03360 0.00000
4.91 0.00000 0.00000 0.00000 0.00000
4.92 -0.44320 0.00000 0.00320 0.00000
4.93 0.00000 0.00000 0.00000 0.00000
4.94 -0.43640 0.00000 0.03280 0.00000
4.95 0.00000 0.00000 0.00000 0.00000
4.96 -0.44600 0.00000 0.00660 0.00000
4.97 0.00000 0.00000 0.00000 0.00000
4.98 -0.40400 0.00000 0.04560 0.00000
4.99 0.00000 0.00000 0.00000 0.00000
5.00 -0.40680 0.00000 0.00340 0.00000
5.01 0.00000 0.00000 0.00000 0.00000
5.02 -0.42320 0.00000 0.00140 0.00000
5.03 0.00000 0.00000 0.00000 0.00000
5.04 -0.38920 0.00000 0.00480 0.00000
5.05 0.00000 0.00000 0.00000 0.00000
5.06 -0.40000 0.00000 0.00600 0.00000
5.07 0.00000 0.00000 0.00000 0.00000
5.08 -0.40720 0.00000 0.00080 0.00000
5.09 0.00000 0.00000 0.00000 0.00000
5.10 -0.43320 0.00000 0.01660 0.00000
5.11 0.00000 0.00000 0.00000 0.00000
5.12 -0.41760 0.00000 0.01940 0.00000
5.13 0.00000 0.00000 0.00000 0.00000
5.14 -0.42720 0.00000 0.01540 0.00000
5.15 0.00000 0.00000 0.00000 0.00000
5.16 -0.42200 0.00000 0.01000 0.00000
5.17 0.00000 0.00000 0.00000 0.00000
5.18 -0.42800 0.00000 0.00660 0.00000
5.19 0.00000 0.00000 0.00000 0.00000
5.20 -0.39280 0.00000 0.00560 0.00000
5.21 0.00000 0.00000 0.00000 0.00000
5.22 -0.41280 0.00000 0.01920 0.00000
5.23 0.00000 0.00000 0.00000 0.00000
5.24 -0.37520 0.00000 0.01240 0.00000
5.25 0.00000 0.00000 0.00000 0.00000
5.26 -0.39000 0.00000 0.00220 0.00000
5.27 0.00000 0.00000 0.00000 0.00000
5.28 -0.39800 0.00000 0.00080 0.00000
5.29 0.00000 0.00000 0.00000 0.00000
5.30 -0.39240 0.00000 0.00940 0.00000
5.31 0.00000 0.00000 0.00000 0.00000
5.32 -0.37560 0.00000 0.00140 0.00000
5.33 0.00000 0.00000 0.00000 0.00000
5.34 -0.41080 0.00000 0.00780 0.00000
5.35 0.00000 0.00000 0.00000 0.00000
5.36 -0.41080 0.00000 0.00060 0.00000
5.37 0.00000 0.00000 0.00000 0.00000
5.38 -0.40240 0.00000 0.00000 0.00000
5.39 0.00000 0.00000 0.00000 0.00000
5.40 -0.40200 0.00000 0.00360 0.00000
5.41 0.00000 0.00000 0.00000 0.00000
5.42 -0.37760 0.00000 0.00760 0.00000
5.43 0.00000 0.00000 0.00000 0.00000
5.44 -0.41000 0.00000 0.01700 0.00000
5.45 0.00000 0.00000 0.00000 0.00000
5.46 -0.37000 0.00000 0.00120 0.00000
5.47 0.00000 0.00000 0.00000 0.00000
5.48 -0.39680 0.00000 0.02620 0.00000
5.49 0.00000 0.00000 0.00000 0.00000
5.50 -0.35600 0.00000 0.00740 0.00000
5.51 0.00000 0.00000 0.00000 0.00000
5.52 -0.39640 0.00000 0.00140 0.00000
5.53 0.00000 0.00000 0.00000 0.00000
5.54 -0.38320 0.00000 0.00020 0.00000
5.55 0.00000 0.00000 0.00000 0.00000
5.56 -0.38200 0.00000 0.01020 0.00000
5.57 0.00000 0.00000 0.00000 0.00000
5.58 -0.38200 0.00000 0.01100 0.00000
5.59 0.00000 0.00000 0.00000 0.00000
5.60 -0.37360 0.00000 0.00580 0.00000
5.61 0.00000 0.00000 0.00000 0.00000
5.62 -0.37960 0.00000 0.01700 0.00000
5.63 0.00000 0.00000 0.00000 0.00000
5.64 -0.36240 0.00000 0.00080 0.00000
5.65 0.00000 0.00000 0.00000 0.00000
5.66 -0.39160 0.00000 0.02060 0.00000
5.67 0.00000 0.00000 0.00000 0.00000
